"from" "to" "strength"
"1" "ca8" "gene1" 0.999999964885604
"2" "ca11" "gene1" 0.999934754724116
"3" "cg13" "gene1" 0.999999650055532
"4" "cg14" "gene1" 1
"5" "cg15" "gene1" 0.999999999995564
"6" "ca11" "ca12" 6.39739795798483e-115
"7" "ca12" "ca9" 6.76932857306128e-45
"8" "ca3" "ca11" 1.34070319368723e-60
"9" "ca8" "ca10" 8.74619865858759e-23
"10" "ca3" "ca9" 1.71676977416825e-14
"11" "ca10" "ca12" 2.364747856568e-21
"12" "ca10" "ca3" 1.30745438959723e-08
"13" "ca11" "ca9" 1.46198330918151e-10
"14" "ca11" "cg14" 3.06057142120478e-09
"15" "ca2" "ca8" 0.000277543113566505
"16" "ca3" "ca12" 1.27245647865745e-06
"17" "ca11" "cg13" 0.00206951546077008
"18" "ca9" "cg14" 3.94668361533707e-06
