"from" "to" "strength"
"1" "ca2" "gene1" 1
"2" "ca3" "gene1" 1
"3" "ca5" "gene1" 1
"4" "ca6" "gene1" 1
"5" "ca7" "gene1" 1
"6" "ca8" "gene1" 1
"7" "ca10" "gene1" 0.99999101471115
"8" "ca9" "ca10" 1.1073553528779e-24
"9" "ca7" "ca9" 8.87510527408832e-09
"10" "ca10" "ca6" 5.01337268225194e-07
"11" "ca6" "ca4" 7.15299823275024e-05
"12" "ca6" "ca5" 7.15299823275024e-05
"13" "ca3" "ca8" 0.000296202609649239
"14" "ca4" "ca3" 0.00131477456364101
