"from" "to" "strength"
"1" "ca2" "gene1" 1
"2" "ca5" "gene1" 0.999703327790253
"3" "ca6" "gene1" 1
"4" "ca7" "gene1" 1
"5" "cg12" "gene1" 0.999999988043846
"6" "cg13" "gene1" 1
"7" "ca10" "ca11" 2.45677113950037e-88
"8" "ca11" "ca5" 4.10692254361492e-79
"9" "ca3" "ca4" 1.62134043885215e-06
"10" "ca2" "ca6" 5.54694567210045e-05
"11" "ca4" "ca10" 0.00252173610871883
"12" "ca5" "cg12" 0.0036018490839013
