"from" "to" "strength"
"1" "ca2" "gene1" 0.941897946911276
"2" "ca7" "gene1" 0.816317023442211
"3" "cg15" "gene1" 0.999824040141873
"4" "cg17" "gene1" 0.999151061588666
"5" "ca6" "ca7" 6.15314120362536e-21
"6" "ca12" "cg15" 1.51577694439579e-08
"7" "ca7" "ca12" 1.95400937881814e-05
"8" "ca2" "ca6" 0.00341873192142683
