"from" "to" "strength"
"1" "ca5" "gene1" 0.929824642132742
"2" "cg7" "gene1" 0.999995228161777
"3" "cg8" "gene1" 0.997893423215913
"4" "cg9" "gene1" 0.980245523728834
"5" "ca2" "ca4" 3.67506066017673e-06
"6" "ca4" "ca5" 1.01079354531176e-05
